,gene_id,gene_name
286668,Xelaev18023272m.g,LOC100496999.L
286702,Xelaev18023273m.g,ier5.L
286703,Xelaev18023274m.g,Xelaev18023274m.g
286705,Xelaev18023275m.g,stx6.L
286712,Xelaev18023276m.g,kiaa1614.L
286731,Xelaev18023277m.g,xpr1.L
286761,Xelaev18023278m.g,acbd6.L
286774,Xelaev18023279m.g,lhx4.L
286780,Xelaev18023280m.g,qsox1.L
286804,Xelaev18023281m.g,cep350.L
286876,Xelaev18023282m.g,tor1aip1-like.L
286900,Xelaev18023283m.g,tor1aip2.L
286903,Xelaev18023284m.g,Xelaev18023284m.g
286904,Xelaev18023285m.g,LOC100497845-like.L
286938,Xelaev18023286m.g,Xetrov90012012m.L
286943,Xelaev18023287m.g,LOC100498160.L
287023,Xelaev18023288m.g,nphs2.L
287039,Xelaev18023290m.g,LOC100497424.L
287049,Xelaev18023291m.g,soat1.L
287080,Xelaev18023293m.g,frrs1.L
287113,Xelaev18023294m.g,palmd.L
287129,Xelaev18023295m.g,slc44a3.L
287159,Xelaev18023296m.g,cnn3.L
287173,Xelaev18023297m.g,alg14.L
287181,Xelaev18023298m.g,tmem56.L
287194,Xelaev18023300m.g,hccs-like.L
287207,Xelaev18023301m.g,rwdd3.L
287215,Xelaev18023302m.g,Xelaev18023302m.g
287217,Xelaev18023303m.g,ptbp2.L
287228,Xelaev18023304m.g,dpyd.L
287274,Xelaev18023305m.g,Xelaev18023305m.g
287276,Xelaev18023306m.g,Xelaev18023306m.g
287279,Xelaev18023307m.g,snx7.L
287297,Xelaev18023308m.g,Xelaev18023308m.g
287298,Xelaev18023309m.g,Xelaev18023309m.g
287301,Xelaev18023310m.g,plppr5.L
287313,Xelaev18023311m.g,plppr4.L
287327,Xelaev18023312m.g,f3.L
287339,Xelaev18023313m.g,arhgap29.L
287386,Xelaev18023314m.g,abca4.L
287480,Xelaev18023315m.g,MGC146850.L
287506,Xelaev18023316m.g,Xelaev18023316m.g
287508,Xelaev18023317m.g,gclm.L
287522,Xelaev18023318m.g,LOC100489839-like.L
287553,Xelaev18023319m.g,bcar3.L
287576,Xelaev18023321m.g,fnbp1l.L
287604,Xelaev18023322m.g,dr1.L
287610,Xelaev18023323m.g,LOC100124812.L
287622,Xelaev18023324m.g,ccdc18.L
287676,Xelaev18023326m.g,tmed5.L
287684,Xelaev18023327m.g,mtf2.L
287714,Xelaev18023328m.g,Xelaev18023328m.g
287716,Xelaev18023329m.g,fam69a.L
287727,Xelaev18023330m.g,LOC100170560.L
287732,Xelaev18023331m.g,rpl5.L
287748,Xelaev18023332m.g,evi5.L
287790,Xelaev18023333m.g,gfi1.L
287802,Xelaev18023334m.g,rpap2.L
287826,Xelaev18023335m.g,glmn.L
287863,Xelaev18023336m.g,c1orf146.L
287873,Xelaev18023337m.g,btbd8.L
287909,Xelaev18023338m.g,Xelaev18023338m.g
287914,Xelaev18023339m.g,ephx4.L
287921,Xelaev18023340m.g,tgfbr3.L
287953,Xelaev18023341m.g,Xelaev18023341m.g
287955,Xelaev18023342m.g,Xelaev18023342m.g
287958,Xelaev18023343m.g,cdc7.L
287969,Xelaev18023344m.g,hfm1.L
288046,Xelaev18023345m.g,Xelaev18023345m.g
288051,Xelaev18023346m.g,znf644.L
